Row_Number,Timestamp,Session_ID,Frame_ID,Hand_Side,Current_State,Velocity_Px,Fingers_In_Zone,In_Board_Zone_Bool,Pos_X,Pos_Y
2506,28.922,20260207_212739,837,Left,Operation,2.4,5,True,499,355
2507,28.922,20260207_212739,837,Right,Operation,1.8,4,True,736,379
2508,28.991,20260207_212739,839,Left,Operation,2.2,5,True,503,354
2509,28.991,20260207_212739,839,Right,Operation,1.5,4,True,737,382
2510,29.060,20260207_212739,841,Left,Operation,2.6,5,True,508,354
2511,29.060,20260207_212739,841,Right,Delay,1.6,4,True,737,383
2512,29.129,20260207_212739,843,Left,Operation,2.0,5,True,508,354
2513,29.129,20260207_212739,843,Right,Delay,1.4,4,True,738,385
2514,29.198,20260207_212739,845,Left,Operation,1.7,5,True,505,353
2515,29.198,20260207_212739,845,Right,Delay,1.2,4,True,736,385
2516,29.267,20260207_212739,847,Left,Operation,2.1,5,True,500,350
2517,29.267,20260207_212739,847,Right,Delay,2.7,4,True,738,375
2518,29.337,20260207_212739,849,Left,Operation,3.9,5,True,492,342
2519,29.337,20260207_212739,849,Right,Operation,9.3,5,True,739,341
2520,29.406,20260207_212739,851,Left,Operation,7.9,5,True,483,319
2521,29.406,20260207_212739,851,Right,Operation,18.2,5,True,749,293
2522,29.475,20260207_212739,853,Left,Operation,18.4,5,True,457,266
2523,29.475,20260207_212739,853,Right,Operation,30.1,2,True,804,234
2524,29.544,20260207_212739,855,Left,Operation,31.2,1,True,401,213
2525,29.544,20260207_212739,855,Right,Transport,41.7,0,False,892,185
2526,29.613,20260207_212739,857,Left,Transport,40.9,0,False,312,188
2527,29.613,20260207_212739,857,Right,Transport,50.4,0,False,999,194
2528,29.682,20260207_212739,859,Left,Transport,48.9,0,False,203,215
2529,29.682,20260207_212739,859,Right,Transport,49.1,0,False,1071,242
2530,29.751,20260207_212739,861,Left,Transport,51.9,0,False,130,276
2531,29.751,20260207_212739,861,Right,Transport,38.6,0,False,1094,287
2532,29.820,20260207_212739,863,Left,Transport,41.2,0,False,115,327
2533,29.820,20260207_212739,863,Right,Transport,23.8,0,False,1085,314
2534,29.889,20260207_212739,865,Left,Transport,23.4,0,False,124,342
2535,29.889,20260207_212739,865,Right,Transport,13.9,0,False,1081,331
2536,29.958,20260207_212739,867,Left,Transport,10.9,0,False,139,336
2537,29.958,20260207_212739,867,Right,Transport,7.7,0,False,1085,338
